="0050","元大台灣50","30,683","667","3,959,355","129.05","129.05","95,480","129.10","2,800",
="0051","元大中型100","155","4","7,566","48.82","48.82","1,433","49.31","1,155",
="0052","富邦科技","656","16","76,287","116.30","116.30","5,713","117.00","87",
="0053","元大電子","20","1","1,225","61.25","61.25","1,169","61.70","1,879",
="0054","元大台商50","10","1","291","29.10","28.90","1,599","29.10","305",
="0055","元大MSCI金融","70","1","1,435","20.50","20.50","2,961","20.59","662",
="0056","元大高股息","25,553","246","861,031","33.70","33.70","134,595","33.73","5,969",
="0057","富邦摩台","0","0","0","--","85.90","1,099","86.35","834",
="0061","元大寶滬深","700","1","16,380","23.40","23.40","4,213","23.60","1,256",
="006203","元大MSCI台灣","0","0","0","--","59.05","1,198","60.25","324",
="006204","永豐臺灣加權","1","1","79","79.50","78.50","698","79.50","1,131",
="006205","富邦上証","3,453","16","131,033","37.95","37.95","6,238","--","0",
="006206","元大上證50","124","2","4,719","38.06","38.06","441","--","0",
="006207","FH滬深","200","2","6,127","30.64","30.61","1,297","30.64","854",
="006208","富邦台50","14,708","166","1,091,293","74.20","74.15","33,021","74.20","947",
="00625K","富邦上証+R","0","0","0","--","--","0","--","0",
="00631L","元大台灣50正2","350","4","37,100","106.00","105.70","2,284","106.00","1,467",
="00632R","元大台灣50反1","8,001","29","50,473","6.31","6.31","16,339","6.33","9,875",
="00633L","富邦上証正2","0","0","0","--","66.75","1,179","67.10","1,666",
="00634R","富邦上証反1","0","0","0","--","3.80","100","4.40","1,954",
="00635U","期元大S&P黃金","500","3","12,229","24.46","24.46","1,165","24.80","350",
="00636","國泰中國A50","180","4","4,880","27.12","27.12","1,282","--","0",
="00636K","國泰中國A50+U","0","0","0","--","--","0","--","0",
="00637L","元大滬深300正2","1,000","6","26,289","26.29","26.29","6,318","26.55","2,006",
="00638R","元大滬深300反1","0","0","0","--","7.67","4,100","--","0",
="00639","富邦深100","2,342","7","38,805","16.57","16.57","3,424","16.63","827",
="00640L","富邦日本正2","0","0","0","--","26.84","573","26.93","1,479",
="00641R","富邦日本反1","0","0","0","--","10.95","974","11.02","403",
="00642U","期元大S&P石油","110","1","1,200","10.91","10.90","1,150","10.91","5,631",
="00643","群益深証中小","812","4","13,762","16.95","16.95","2,198","--","0",
="00643K","群益深証中小+R","0","0","0","--","--","0","--","0",
="00645","富邦日本","284","1","6,969","24.54","24.52","986","24.54","1,560",
="00646","元大S&P500","1,612","14","57,012","35.37","35.37","5,082","35.70","764",
="00647L","元大S&P500正2","0","0","0","--","58.80","298","60.25","523",
="00648R","元大S&P500反1","0","0","0","--","7.46","2,099","7.56","2,148",
="00650L","FH香港正2","0","0","0","--","28.40","10,590","28.44","10,543",
="00651R","FH香港反1","0","0","0","--","7.04","10,466","7.06","11,514",
="00652","富邦印度","462","1","11,374","24.62","24.61","201","24.62","1,976",
="00653L","富邦印度正2","0","0","0","--","33.63","2,099","34.20","332",
="00654R","富邦印度反1","0","0","0","--","9.61","4,100","--","0",
="00655L","國泰中國A50正2","4","1","199","49.97","49.97","4,112","50.50","551",
="00656R","國泰中國A50反1","0","0","0","--","7.01","4,100","--","0",
="00657","國泰日經225","0","0","0","--","34.25","868","34.46","232",
="00657K","國泰日經225+U","0","0","0","--","--","0","--","0",
="00660","元大歐洲50","0","0","0","--","27.66","1,100","28.20","842",
="00661","元大日經225","0","0","0","--","33.78","100","34.63","320",
="00662","富邦NASDAQ","534","4","25,267","47.32","47.32","973","47.34","1,503",
="00663L","國泰臺灣加權正2","0","0","0","--","93.35","1,100","93.80","3",
="00664R","國泰臺灣加權反1","0","0","0","--","7.15","1,491","--","0",
="00665L","富邦恒生國企正2","0","0","0","--","22.51","1,100","22.95","402",
="00666R","富邦恒生國企反1","0","0","0","--","11.22","4,100","--","0",
="00668","國泰美國道瓊","130","2","4,524","34.80","34.80","1,758","34.90","852",
="00668K","國泰美國道瓊+U","0","0","0","--","--","0","--","0",
="00669R","國泰美國道瓊反1","0","0","0","--","8.12","1,100","8.15","1,913",
="00670L","富邦NASDAQ正2","40","1","3,396","84.90","84.20","173","84.90","55",
="00671R","富邦NASDAQ反1","0","0","0","--","6.01","4,100","--","0",
="00673R","期元大S&P原油反1","0","0","0","--","17.29","1,099","18.06","999",
="00674R","期元大S&P黃金反1","0","0","0","--","12.81","4,100","--","0",
="00675L","富邦臺灣加權正2","0","0","0","--","40.30","300","--","0",
="00676R","富邦臺灣加權反1","0","0","0","--","3.92","1,222","--","0",
="00677U","期富邦VIX","534","4","975","1.83","1.83","266","1.86","5,229",
="00678","群益NBI生技","37","1","976","26.39","26.39","374","26.66","470",
="00680L","元大美債20正2","0","0","0","--","21.01","100","21.80","669",
="00681R","元大美債20反1","0","0","0","--","14.18","4,100","--","0",
="00682U","期元大美元指數","0","0","0","--","18.03","432","--","0",
="00683L","期元大美元指正2","0","0","0","--","16.28","4,100","--","0",
="00684R","期元大美元指反1","0","0","0","--","--","0","--","0",
="00685L","群益臺灣加權正2","0","0","0","--","35.00","1,099","--","0",
="00686R","群益臺灣加權反1","0","0","0","--","4.25","759","--","0",
="00688L","國泰20年美債正2","0","0","0","--","21.01","4,100","--","0",
="00689R","國泰20年美債反1","0","0","0","--","14.90","4,100","--","0",
="00690","兆豐藍籌30","0","0","0","--","30.60","1,262","30.91","1,251",
="00692","富邦公司治理","1,734","17","57,510","33.17","33.17","27,011","33.20","1,214",
="00693U","期街口S&P黃豆","0","0","0","--","24.23","1,084","25.17","268",
="00700","富邦恒生國企","0","0","0","--","18.25","430","18.34","886",
="00701","國泰股利精選30","671","3","15,693","23.39","23.39","2,284","23.80","818",
="00702","國泰標普低波高息","0","0","0","--","20.79","1,240","20.88","752",
="00703","台新MSCI中國","0","0","0","--","22.84","100","23.41","38",
="00706L","期元大S&P日圓正2","0","0","0","--","16.06","466","16.16","634",
="00707R","期元大S&P日圓反1","0","0","0","--","--","0","--","0",
="00708L","期元大S&P黃金正2","0","0","0","--","27.32","998","29.30","130",
="00709","富邦歐洲","0","0","0","--","23.22","949","23.35","776",
="00710B","FH彭博高收益債","0","0","0","--","18.31","1,298","18.46","4,158",
="00711B","FH彭博新興債","0","0","0","--","19.43","298","19.87","4,370",
="00712","FH富時不動產","2,153","14","29,986","13.93","13.89","10,463","13.93","17,927",
="00713","元大台灣高息低波","430","7","17,396","40.46","40.46","522","40.85","1,790",
="00714","群益道瓊美國地產","0","0","0","--","20.62","196","--","0",
="00715L","期街口布蘭特正2","300","1","2,157","7.19","7.13","1,100","7.19","1,200",
="00717","富邦美國特別股","2,047","7","33,854","16.54","16.53","10,688","16.54","9,976",
="00728","第一金工業30","2,000","16","52,891","26.45","26.45","1,996","26.72","562",
="00730","富邦臺灣優質高息","3,039","22","61,989","20.40","20.40","2,379","20.54","660",
="00731","FH富時高息低波","242","3","13,466","55.65","55.65","10,240","55.75","11,568",
="00732","國泰RMB短期報酬","0","0","0","--","39.44","923","39.67","326",
="00733","富邦臺灣中小","98","2","3,685","37.61","37.61","2,237","37.80","1,676",
="00735","國泰臺韓科技","0","0","0","--","31.57","958","31.80","192",
="00736","國泰新興市場","73","1","1,648","22.58","22.42","1,100","22.58","427",
="00737","國泰AI+Robo","145","1","4,393","30.30","30.30","2,087","30.58","723",
="00738U","期元大道瓊白銀","52","1","1,450","27.90","27.90","345","31.00","160",
="00739","元大MSCI A股","241","4","6,690","27.77","27.66","846","27.77","890",
="00742","新光內需收益","0","0","0","--","21.76","509","21.80","630",
="00743","國泰中國A150","0","0","0","--","29.05","1,348","29.35","1,022",
="00752","中信中國50","500","6","13,762","27.53","27.53","16,852","27.54","10,754",
="00753L","中信中國50正2","0","0","0","--","33.36","207","33.69","591",
="00757","統一FANG+","861","7","37,244","43.26","43.25","12,542","43.26","19,509",
="00762","元大全球AI","150","1","5,250","35.00","35.00","1,608","35.18","1,119",
="00763U","期街口道瓊銅","0","0","0","--","30.50","600","--","0",
="00770","國泰北美科技","0","0","0","--","33.12","969","34.60","88",
="00771","元大US高息特別股","0","0","0","--","18.96","10,190","19.02","11,067",
="00774B","新光中國政金綠債","0","0","0","--","38.00","100","38.96","510",
="00774C","新光中政金綠債+R","0","0","0","--","--","0","--","0",
="00775B","新光投等債15+","0","0","0","--","39.50","100","40.50","465",
="00783","富邦中証500","200","3","4,401","22.01","22.01","2,086","22.08","3,786",
="008201","BP上證50","0","0","0","--","124.00","99","--","0",
="00830","國泰費城半導體","205","4","5,285","25.79","25.79","704","26.00","375",
="00850","元大臺灣ESG永續","5,564","74","178,296","32.05","32.04","17,914","32.05","2,501",
="00851","台新全球AI","0","0","0","--","28.35","200","--","0",
="00852L","國泰美國道瓊正2","0","0","0","--","20.24","1,100","20.57","763",
="00861","元大全球未來通訊","1,118","12","30,864","27.61","27.61","3,374","27.63","10",
="00865B","國泰US短期公債","0","0","0","--","36.27","214","36.52","2,289",
="00875","國泰網路資安","0","0","0","--","29.90","2,039","30.04","522",
="00876","元大未來關鍵科技","966","6","26,082","27.00","27.00","3,463","28.00","592",
="00878","國泰永續高股息","9,139","61","165,212","18.08","18.08","67,235","18.10","3,237",
="00881","國泰台灣5G+","18,223","132","299,354","16.43","16.43","111,129","16.45","2,318",
="00882","中信中國高股息","11,360","61","180,610","15.90","15.89","11,758","15.90","9,444",
="00885","富邦越南","2,607","17","39,802","15.27","15.27","15,002","15.30","305",
="01001T","土銀富邦R1","0","0","0","--","18.16","1,252","18.35","1,644",
="01002T","土銀國泰R1","50","1","940","18.80","18.80","1,355","18.98","638",
="01003T","兆豐新光R1","0","0","0","--","18.50","1,198","18.90","1,433",
="01004T","土銀富邦R2","0","0","0","--","16.72","2,197","17.05","1,398",
="01007T","兆豐國泰R2","0","0","0","--","20.12","2,197","20.45","939",
="01009T","王道圓滿R1","0","0","0","--","8.82","999","9.29","950",
="01010T","京城樂富R1","92","1","998","10.85","10.40","1,247","10.85","2,697",
"1101","台泥","17,971","172","891,310","49.60","49.60","43,133","49.65","6,339",
"1101B","台泥乙特","0","0","0","--","53.30","5,844","53.60","2,266",
"1102","亞泥","5,403","52","264,747","49.00","49.00","6,181","49.05","1,543",
"1103","嘉泥","2,887","21","61,775","21.40","21.40","3,474","21.45","760",
"1104","環泥","1,123","18","25,150","22.40","22.35","2,171","22.40","694",
"1108","幸福","210","3","2,960","14.10","14.10","3,196","14.25","82",
"1109","信大","310","5","7,904","25.50","25.50","3,454","25.55","478",
"1110","東泥","102","3","1,610","15.80","15.80","1,500","16.05","1,311",
"1201","味全","5","5","105","21.55","21.55","5,963","22.60","747",
"1203","味王","1,314","11","45,331","34.50","34.50","3,239","34.80","1,961",
"1210","大成","5,289","61","298,280","56.40","56.40","14,258","56.50","1,963",
"1213","大飲","200","2","1,643","8.22","8.22","200","8.47","1,121",
"1215","卜蜂","373","18","29,385","78.80","78.80","10,947","79.00","304",
"1216","統一","5,316","44","392,308","73.80","73.60","6,554","73.80","13,232",
"1217","愛之味","7,925","60","92,701","11.70","11.70","15,954","11.75","1,780",
"1218","泰山","1,170","12","35,100","30.00","30.00","6,177","30.35","612",
"1219","福壽","397","9","9,131","23.00","23.00","6,294","23.10","689",
"1220","台榮","734","6","11,411","15.55","15.50","3,598","15.55","544",
"1225","福懋油","392","6","16,972","43.30","43.30","6,596","43.45","1",
"1227","佳格","3,162","28","167,892","53.10","53.00","8,606","53.10","3,022",
"1229","聯華","6,461","65","302,351","46.80","46.75","8,645","46.80","1,081",
"1231","聯華食","818","18","49,153","60.10","60.10","8,055","60.20","1,859",
"1232","大統益","1,591","48","265,697","167.00","167.00","2,222","168.50","1,327",
"1233","天仁","2","2","68","34.50","34.50","502","35.20","1,454",
"1234","黑松","1,117","8","38,758","34.70","34.70","3,359","36.30","70",
"1235","興泰","31","2","936","30.20","30.20","968","30.35","3,156",
"1236","宏亞","150","6","2,279","15.20","15.20","3,046","15.25","2,024",
"1256","鮮活果汁-KY","1,682","84","717,346","426.50","426.00","5,511","426.50","1,257",
"1301","台塑","8,259","73","788,723","95.50","95.50","9,755","95.60","2,592",
"1303","南亞","4,420","57","355,351","80.40","80.30","6,392","80.40","2,530",
"1304","台聚","5,529","46","171,937","31.10","31.05","6,396","31.10","5,758",
"1305","華夏","2,872","21","91,464","31.85","31.85","9,328","32.00","1,301",
"1307","三芳","1","1","20","20.30","20.30","2,255","20.35","1,139",
"1308","亞聚","4,176","28","108,984","26.10","26.05","11,754","26.10","3,252",
"1309","台達化","3,314","32","127,585","38.50","38.50","7,064","38.90","22",
"1310","台苯","1,951","15","36,184","18.55","18.45","4,613","18.55","499",
"1312","國喬","2,075","22","55,395","26.70","26.70","8,299","26.90","669",
"1312A","國喬特","0","0","0","--","35.00","999","35.75","999",
"1313","聯成","3,406","17","77,990","22.90","22.90","2,287","22.95","3,634",
"1314","中石化","11,596","70","147,821","12.75","12.75","31,167","13.00","10",
"1315","達新","500","5","35,448","70.90","70.90","4,939","71.80","656",
"1316","上曜","204","5","2,264","11.10","11.10","2,159","11.15","2,341",
"1319","東陽","1,334","13","43,550","32.65","32.50","2,399","32.65","19,487",
"1321","大洋","153","5","5,261","34.40","34.20","2,204","34.40","1,060",
"1323","永裕","434","8","13,755","31.70","31.70","1,986","32.25","699",
"1324","地球","1","1","11","11.25","11.25","1,801","--","0",
"1325","恆大","2,709","36","304,754","112.50","112.50","144,135","114.50","1,105",
"1326","台化","2,398","23","199,267","83.10","83.00","17,833","83.10","1,024",
"1337","再生-KY","1,230","13","8,779","7.14","7.14","4,166","7.15","4,347",
"1338","廣華-KY","200","2","12,259","61.30","61.20","4,210","61.30","183",
"1339","昭輝","82","2","3,189","38.90","38.50","1,675","38.90","293",
"1340","勝悅-KY","1,322","11","13,549","10.25","10.25","5,983","10.35","300",
"1341","富林-KY","9","9","693","77.70","77.70","1,042","78.20","555",
"1342","八貫","1","1","50","50.40","50.00","310","50.40","196",
"1402","遠東新","937","14","28,762","30.70","30.60","6,180","30.70","2,394",
"1409","新纖","5,479","40","104,101","19.00","19.00","3,665","19.10","5,154",
"1410","南染","2","1","69","34.55","34.45","2,918","34.55","2,709",
"1413","宏洲","289","4","3,033","10.50","10.50","915","10.60","555",
"1414","東和","245","8","4,188","17.10","17.05","2,867","17.10","1,465",
"1416","廣豐","795","7","8,544","10.75","10.70","5,593","10.75","1,310",
"1417","嘉裕","1,496","9","20,714","13.85","13.85","2,112","13.90","2,082",
"1418","東華","0","0","0","--","11.75","600","11.80","740",
"1419","新紡","4","1","156","39.00","38.95","1,605","39.00","1,012",
"1423","利華","550","5","11,354","20.65","20.60","3,412","20.65","1,386",
"1432","大魯閣","2,286","16","29,941","13.10","13.10","2,523","13.20","622",
"1434","福懋","1,105","12","33,423","30.25","30.25","6,021","31.70","1,573",
"1435","中福","1,052","6","16,305","15.50","15.50","924","15.55","2,246",
"1436","華友聯","463","1","17,918","38.70","38.70","2,237","39.00","3,676",
"1437","勤益控","500","2","12,249","24.50","24.50","1,806","24.60","1,286",
"1438","三地開發","0","0","0","--","27.25","6,498","28.00","709",
"1439","中和","2","1","45","22.60","22.50","623","22.60","1,627",
"1440","南紡","6,208","51","152,388","24.55","--","0","24.55","15,630",
"1441","大東","507","7","5,246","10.35","--","0","10.35","5,302",
"1442","名軒","0","0","0","--","16.95","4,507","17.05","656",
"1443","立益","34","3","390","11.50","11.50","1,390","11.70","1,743",
"1444","力麗","3,974","27","44,900","11.30","11.30","9,093","11.35","2,466",
"1445","大宇","540","5","5,940","11.00","11.00","1,830","11.10","991",
"1446","宏和","0","0","0","--","27.70","1,757","27.90","1,694",
"1447","力鵬","2,351","16","25,974","11.05","11.05","6,731","11.10","2,130",
"1449","佳和","692","12","10,478","15.15","15.15","813","15.20","1,492",
"1451","年興","2,025","20","38,268","18.90","18.80","2,604","18.90","906",
"1452","宏益","559","8","11,904","21.30","21.30","2,968","21.50","188",
"1453","大將","845","15","7,271","8.61","8.61","2,272","8.69","438",
"1454","台富","725","5","6,742","9.30","9.30","615","9.32","1,194",
"1455","集盛","11,217","64","236,094","21.05","21.05","8,273","--","0",
"1456","怡華","199","2","3,203","16.10","16.05","1,502","16.10","89",
"1457","宜進","569","10","9,071","15.95","15.90","2,449","15.95","1,062",
"1459","聯發","1,074","12","14,441","13.45","--","0","13.45","51,317",
"1460","宏遠","964","13","10,020","10.40","10.40","2,751","10.50","1,595",
"1463","強盛","80","2","1,031","12.90","12.90","1,606","13.05","1,063",
"1464","得力","1,919","32","33,283","17.35","17.35","9,987","17.50","716",
"1465","偉全","1","1","13","13.00","13.00","3,157","--","0",
"1466","聚隆","461","14","6,475","14.05","14.05","2,805","14.15","1,568",
"1467","南緯","296","7","5,133","17.35","17.35","3,601","--","0",
"1468","昶和","1","1","12","12.25","12.25","1,858","12.45","1,819",
"1470","大統新創","2","1","33","16.75","16.75","558","16.90","583",
"1471","首利","769","5","7,019","9.13","9.13","5,271","9.20","3,270",
"1472","三洋紡","21","2","221","10.55","10.55","460","10.60","1,157",
"1473","台南","996","9","17,477","17.55","17.55","6,071","17.80","60",
"1474","弘裕","653","6","9,075","13.90","13.90","2,925","13.95","2,102",
"1475","業旺","1","1","32","32.15","--","0","32.15","1,517",
"1476","儒鴻","189","11","110,565","585.00","584.00","1,944","585.00","731",
"1477","聚陽","1,459","22","363,291","249.00","249.00","2,764","249.50","2,281",
"1503","士電","768","5","37,054","48.25","48.25","6,392","48.30","2,390",
"1504","東元","1,137","9","35,586","31.30","31.30","8,179","31.35","1,229",
"1506","正道","1","1","9","9.90","9.90","2,598","9.95","418",
"1507","永大","2,375","9","143,922","60.60","60.60","1,002,101","60.80","5,236",
"1512","瑞利","3","3","12","4.50","4.50","2,306","--","0",
"1513","中興電","2,677","20","128,353","47.95","47.90","9,669","47.95","829",
"1514","亞力","615","7","13,959","22.70","22.65","2,417","22.70","1,081",
"1515","力山","946","12","66,312","70.10","70.00","3,738","70.10","806",
"1516","川飛","46","2","993","21.60","21.60","2,713","21.70","1,401",
"1517","利奇","973","5","22,864","23.50","23.50","5,391","23.60","165",
"1519","華城","500","5","21,000","42.00","42.00","4,905","--","0",
"1521","大億","100","2","4,649","46.50","46.50","1,760","47.00","103",
"1522","堤維西","500","2","10,275","20.55","20.55","6,538","21.75","273",
"1524","耿鼎","668","8","6,344","9.50","9.50","5,696","9.55","1,019",
"1525","江申","247","1","15,314","62.00","62.00","2,303","68.30","83",
"1526","日馳","741","6","32,454","43.80","43.80","3,917","43.90","744",
"1527","鑽全","1","1","43","43.70","43.60","2,285","43.85","24",
"1528","恩德","5","3","46","9.34","9.31","2,793","9.34","435",
"1529","樂士","429","3","7,078","16.50","16.50","2,172","16.65","461",
"1530","亞崴","169","2","5,796","34.30","34.30","1,933","34.55","1,397",
"1531","高林股","368","10","5,202","14.15","14.10","2,593","14.15","970",
"1532","勤美","288","3","9,416","32.70","32.70","3,394","32.90","2,273",
"1533","車王電","12","2","603","50.30","50.10","3,968","50.30","1,193",
"1535","中宇","4","2","148","37.05","36.80","2,548","37.05","936",
"1536","和大","817","13","71,896","88.00","88.00","13,242","96.00","999",
"1537","廣隆","180","5","26,189","145.50","145.50","3,111","150.00","93",
"1538","正峰","2,431","13","31,603","13.00","13.00","424","13.20","1,544",
"1539","巨庭","0","0","0","--","17.40","1,827","17.50","1,565",
"1540","喬福","3","2","46","15.85","15.70","1,635","15.85","544",
"1541","錩泰","0","0","0","--","47.75","3,429","48.40","1,559",
"1558","伸興","73","10","12,004","164.50","164.00","2,909","164.50","156",
"1560","中砂","103","4","6,353","61.70","61.50","5,301","61.70","960",
"1568","倉佑","364","5","9,135","25.10","25.10","2,811","27.00","10",
"1582","信錦","0","0","0","--","81.20","5,987","81.60","1,045",
"1583","程泰","0","0","0","--","61.20","1,002","61.80","2,499",
"1587","吉茂","0","0","0","--","26.70","1,224","26.80","1",
"1589","永冠-KY","84","3","6,391","76.10","76.10","3,884","76.50","695",
"1590","亞德客-KY","722","11","722,000","1,000.00","1,000.00","2,024","1,010.00","485",
"1592","英瑞-KY","340","21","1,081","3.20","2.99","1,000","3.20","2,317",
"1597","直得","928","13","84,909","91.50","91.50","3,115","91.60","985",
"1598","岱宇","735","5","70,486","95.90","95.90","4,479","--","0",
"1603","華電","5","2","143","28.95","28.95","1,502","29.20","1,096",
"1604","聲寶","1,205","11","34,098","28.30","28.30","9,267","28.35","2,810",
"1605","華新","8,518","65","196,322","23.05","23.05","13,449","23.15","3,066",
"1608","華榮","3,807","32","89,838","23.60","23.50","2,539","23.60","3,254",
"1609","大亞","9,798","71","240,516","24.55","24.50","4,948","24.55","7,761",
"1611","中電","107","6","1,136","10.65","10.65","6,109","10.80","997",
"1612","宏泰","1,103","10","24,980","22.65","22.65","3,050","22.75","1,182",
"1614","三洋電","0","0","0","--","33.00","1,800","33.15","4",
"1615","大山","501","7","17,283","34.50","34.50","3,291","34.65","1,206",
"1616","億泰","601","10","4,731","7.88","7.88","2,222","7.95","166",
"1617","榮星","331","9","5,641","17.05","16.90","1,560","17.05","190",
"1618","合機","927","19","14,178","15.30","15.30","2,430","15.35","3,600",
"1626","艾美特-KY","679","3","17,110","25.20","25.20","1,388","25.35","2,398",
"1701","中化","771","11","17,574","22.80","22.80","4,854","22.90","2,606",
"1702","南僑","1,470","15","75,554","51.40","51.40","5,099","51.90","85",
"1707","葡萄王","900","11","162,000","180.00","171.00","4,102","180.00","724",
"1708","東鹼","1,375","13","35,536","25.85","25.85","8,157","25.90","1,135",
"1709","和益","891","7","14,968","16.80","16.80","2,158","16.85","2,410",
"1710","東聯","2,433","18","49,385","20.30","20.25","1,940","20.30","697",
"1711","永光","966","11","16,368","16.95","16.90","6,838","16.95","667",
"1712","興農","55","8","1,184","21.60","21.60","6,399","21.70","873",
"1713","國化","2","2","42","21.55","21.55","1,936","21.60","365",
"1714","和桐","3,694","28","40,996","11.10","11.10","10,513","11.15","4,447",
"1717","長興","437","10","15,510","35.50","35.50","8,718","35.65","1,019",
"1718","中纖","3,995","31","38,217","9.57","9.57","13,870","9.60","1,097",
"1720","生達","630","6","25,040","39.75","39.75","4,019","39.80","4",
"1721","三晃","1,515","12","15,906","10.50","10.50","4,471","11.00","187",
"1722","台肥","400","4","22,918","57.30","56.90","4,482","57.30","2,593",
"1723","中碳","300","6","31,800","106.00","106.00","2,079","106.50","3",
"1724","台硝","472","4","7,457","15.80","15.80","20,219","16.00","236",
"1725","元禎","254","5","4,673","18.40","18.35","1,500","18.40","1,166",
"1726","永記","505","4","36,712","72.70","72.40","2,490","72.70","1,155",
"1727","中華化","995","8","12,038","12.10","12.10","350","12.15","1,565",
"1730","花仙子","500","8","37,098","74.20","74.20","4,620","--","0",
"1731","美吾華","2,005","18","42,600","21.25","21.25","3,250","21.30","352",
"1732","毛寶","718","7","29,616","41.25","41.25","1,418,035","--","0",
"1733","五鼎","500","2","12,500","25.00","25.00","2,994","25.15","401",
"1734","杏輝","1,343","8","42,976","32.00","32.00","8,946","32.10","1,345",
"1735","日勝化","7","2","122","17.60","17.60","503","17.70","1,825",
"1736","喬山","400","5","29,760","74.40","74.40","3,285","74.90","45",
"1737","臺鹽","1,561","15","49,952","32.00","31.95","4,617","32.00","3,574",
"1760","寶齡富錦","2,738","26","258,735","94.50","94.00","5,225","94.50","386",
"1762","中化生","1,388","11","82,166","59.20","59.00","2,649","59.20","1,313",
"1773","勝一","510","4","56,354","110.50","110.00","3,210","110.50","1,492",
"1776","展宇","0","0","0","--","17.30","2,760","17.40","1,344",
"1783","和康生","17","2","527","31.00","30.65","1,596","31.00","228",
"1786","科妍","258","13","13,074","50.70","50.70","4,616","50.80","1,081",
"1789","神隆","833","11","21,488","25.80","25.80","2,969","25.90","1,538",
"1795","美時","165","4","12,391","75.10","75.10","1,263,770","--","0",
"1802","台玻","16,143","119","463,265","28.70","--","0","28.70","1,933",
"1805","寶徠","904","6","10,980","12.15","11.90","1,099","12.15","689",
"1806","冠軍","1,537","8","16,674","10.85","10.80","1,555","10.85","693",
"1808","潤隆","400","3","20,600","51.50","51.50","1,848","51.60","2,326",
"1809","中釉","748","9","9,682","12.95","12.90","3,277","12.95","2,292",
"1810","和成","106","4","1,144","10.80","10.80","3,452","--","0",
"1817","凱撒衛","0","0","0","--","35.70","2,307","35.90","539",
"1903","士紙","319","9","16,074","50.40","50.40","2,091","50.80","346",
"1904","正隆","5,273","73","207,208","39.30","39.25","7,380","39.30","2,492",
"1905","華紙","11,146","83","222,330","19.95","19.90","10,222","19.95","2,790",
"1906","寶隆","880","9","15,882","18.05","18.05","2,093","18.10","2,329",
"1907","永豐餘","4,206","40","133,101","31.65","31.60","7,540","31.65","2,282",
"1909","榮成","1,552","16","34,144","22.00","22.00","9,566","22.15","511",
"2002","中鋼","96,423","659","3,360,067","34.85","34.85","102,186","34.90","20,759",
