"110年05月12日 盤後零股交易行情單"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","成交價","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量",
="0050","元大台灣50","52,474","817","6,816,100","129.90","129.85","184,545","129.90","8,018",
="0051","元大中型100","50","2","2,514","50.30","50.30","2,089","50.55","997",
="0052","富邦科技","6,672","100","770,592","115.50","115.50","4,983","115.60","2,977",
="0053","元大電子","0","0","0","--","61.05","1,223","61.50","2,179",
="0054","元大台商50","0","0","0","--","28.30","1,599","28.44","414",
="0055","元大MSCI金融","65","3","1,348","20.76","20.76","2,043","20.96","752",
="0056","元大高股息","44,302","427","1,487,927","33.59","33.58","165,104","33.59","17,704",
="0057","富邦摩台","0","0","0","--","85.20","1,219","86.65","1,476",
="0061","元大寶滬深","608","10","14,011","23.05","23.02","1,891","23.05","1,865",
="006203","元大MSCI台灣","0","0","0","--","61.00","463","--","0",
="006204","永豐臺灣加權","452","1","36,092","79.85","79.85","787","81.00","720",
="006205","富邦上証","1,127","5","41,699","37.00","37.00","2,392","37.38","5,110",
="006206","元大上證50","179","3","6,728","37.59","37.59","1,011","37.62","100",
="006207","FH滬深","0","0","0","--","30.14","768","--","0",
="006208","富邦台50","15,857","233","1,203,463","75.90","75.90","40,346","75.95","1,745",
="00625K","富邦上証+R","0","0","0","--","--","0","--","0",
="00631L","元大台灣50正2","900","9","94,588","105.10","105.10","1,861","106.00","1,000",
="00632R","元大台灣50反1","8,998","34","56,940","6.33","6.32","20,886","6.33","1,485",
="00633L","富邦上証正2","0","0","0","--","64.10","1,099","65.35","616",
="00634R","富邦上証反1","0","0","0","--","3.90","1,099","3.92","1,500",
="00635U","期元大S&P黃金","73","2","1,797","24.63","24.63","1,708","26.00","150",
="00636","國泰中國A50","0","0","0","--","26.82","1,311","--","0",
="00636K","國泰中國A50+U","0","0","0","--","--","0","--","0",
="00637L","元大滬深300正2","371","3","9,515","25.65","25.65","2,825","25.85","2,617",
="00638R","元大滬深300反1","0","0","0","--","7.78","4,100","--","0",
="00639","富邦深100","1,636","9","26,468","16.18","16.18","571","16.33","190",
="00640L","富邦日本正2","0","0","0","--","26.74","1,572","26.81","1,479",
="00641R","富邦日本反1","0","0","0","--","11.02","974","11.06","534",
="00642U","期元大S&P石油","1,404","7","15,595","11.11","11.11","4,829","11.12","6,350",
="00643","群益深証中小","620","2","10,564","17.04","17.04","906","17.19","2",
="00643K","群益深証中小+R","0","0","0","--","--","0","--","0",
="00645","富邦日本","641","3","15,653","24.42","24.42","786","24.50","2,578",
="00646","元大S&P500","699","12","24,762","35.43","35.43","7,028","35.52","1,455",
="00647L","元大S&P500正2","0","0","0","--","58.85","298","60.30","543",
="00648R","元大S&P500反1","0","0","0","--","7.41","1,099","7.56","1,948",
="00650L","FH香港正2","0","0","0","--","28.62","10,590","28.66","10,901",
="00651R","FH香港反1","0","0","0","--","7.02","10,466","7.04","11,514",
="00652","富邦印度","2,012","7","49,392","24.55","24.55","139","24.70","2,378",
="00653L","富邦印度正2","0","0","0","--","33.17","100","34.40","690",
